Nome,Número,Tipo,Latitude,Longitude,Altitude,Município,Início de funcionamento
Lousã - Aeródromo,697,Estação Automática Climatológica (EMA II),40.14392500,-8.24418333,195,LOUSÃ,26-05-1997
Lugar de Baixo,986,Estação Automática Climatológica (EMA II),32.68122778,-17.09275000,40,Ponta do Sol,14-03-2002
Luzim,657,Estação Automática Climatológica (EMA II),41.14588611,-8.24895833,250,PENAFIEL,22-12-2009
Macedo de Cavaleiros - Izeda-Morais,633,Estação Automática Climatológica (EMA II),41.56765556,-6.78726389,702,MACEDO DE CAVALEIROS,07-12-1999
Miranda do Douro,635,Estação Automática Climatológica (EMA II),41.49882222,-6.27152500,693,MIRANDA DO DOURO,09-06-1999
Mirandela,632,Estação Automática Climatológica (EMA II),41.51478611,-7.19083889,250,MIRANDELA,23-07-1999
Mogadouro,637,Estação Automática Climatológica (EMA II),41.33511111,-6.72628611,644,MOGADOURO,11-06-1999
Moimenta da Beira,663,Estação Automática Climatológica (EMA II),40.98566111,-7.60387778,715,MOIMENTA DA BEIRA,07-12-2001
Moncorvo,654,Estação Automática Climatológica (EMA II),41.18986944,-7.01852500,600,TORRE DE MONCORVO,07-12-2001
Montalegre,611,Estação Automática Climatológica (EMA II),41.82278333,-7.78789167,1005,MONTALEGRE,14-05-1999
Monção - Valinha,605,Estação Automática Climatológica (EMA II),42.07336111,-8.38096944,80,MONÇÃO,14-05-1996
Mora,826,Estação Automática Climatológica (EMA II),38.94068333,-8.16405833,110,MORA,03-09-2009
Mértola - Vale Formoso,863,Estação Automática Climatológica (EMA II),37.75750833,-7.55151944,190,MÉRTOLA,27-05-1997
Nelas,685,Estação Automática Climatológica (EMA II),40.52349722,-7.85547222,425,NELAS,28-12-1996
Nordeste - S.Miguel,932,Estação Automática Climatológica (EMA II),37.82882778,-25.14934444,140,NORDESTE,01-05-2002
Odemira - S. Teotónio,577,Estação Automática Climatológica (EMA II),37.54710833,-8.72899167,76,ODEMIRA,09-09-1999
Olhão / EPPO,881,Estação Automática Climatológica (EMA II),37.03295278,-7.82096667,7,OLHÃO,01-01-2008
Pampilhosa da Serra,686,Estação Automática Climatológica (EMA II),40.14565278,-7.92703889,890,PAMPILHOSA DA SERRA,06-12-2001
Pegões,767,Estação Automática Climatológica (EMA II),38.65079444,-8.63502500,64,PALMELA,15-12-2009
Penhas Douradas / Observatório,568,Estação Automática Principal (EMA I),40.41136667,-7.55865278,1380,MANTEIGAS,01-01-1996
Pico / Aeródromo,922,Estação Automática Principal (EMA I),38.55325556,-28.44482222,33,MADALENA,11-05-2002
Pico Alto,972,Estação Automática Climatológica (EMA II),32.69444444,-16.90388889,1118,Funchal,01-01-2015
Pico do Areeiro,974,Estação Automática Climatológica (EMA II),32.73523333,-16.92831667,1799,Santana,01-01-2015
Pinhão,655,Estação Automática Climatológica (EMA II),41.17277500,-7.54897222,130,SÃO JOÃO DA PESQUEIRA,30-11-2009
Ponta de S. Jorge,960,Estação Automática Climatológica (EMA II),32.83446944,-16.90621944,257,Santana,14-03-2002
Ponta Delgada - Nordela,512,Estação Automática Principal (EMA I),37.74412222,-25.70799167,77,PONTA DELGADA,01-01-1996
Ponta Delgada / Observatório Afonso Chaves,513,Estação Automática Climatológica (EMA II),37.74657500,-25.66266667,35,PONTA DELGADA,25-11-2009
Ponta do Pargo,990,Estação Automática Climatológica (EMA II),32.81384167,-17.26321389,298,Calheta,14-03-2002
Ponte de Lima / Escola Agrícola,615,Estação Automática Climatológica (EMA II),41.76383889,-8.57138889,40,PONTE DE LIMA,02-06-1999
Portalegre,571,Estação Automática Principal (EMA I),39.29418333,-7.42131667,597,PORTALEGRE,01-01-1996
Portalegre / Cidade,820,Estação Automática Urbana (RUEMA),39.26754444,-7.42088333,376,PORTALEGRE,27-10-2010
Portel - Oriola,848,Estação Automática Climatológica (EMA II),38.31759444,-7.86075278,205,PORTEL,03-12-1999
Portimão / Aeródromo,878,Estação Automática Climatológica (EMA II),37.14748056,-8.58328333,2,PORTIMÃO,10-12-1999
Porto - Massarelos,903,Estação Automática Urbana (RUEMA),41.15256667,-8.62598056,74,PORTO,01-01-2002
Porto - Pedras Rubras,545,Estação Automática Principal (EMA I),41.23227500,-8.67910833,69,MATOSINHOS,01-01-1996
Porto - S.Gens,649,Estação Automática Climatológica (EMA II),41.18445278,-8.64445000,90,MATOSINHOS,24-09-2009
Porto - Serra do Pilar,546,Estação Automática Urbana (RUEMA),41.13851944,-8.60250000,93,VILA NOVA DE GAIA,01-02-2009
Porto Moniz,956,Estação Automática Climatológica (EMA II),32.86735000,-17.16795000,35,Porto Moniz,07-03-2014
Porto Santo / Aeroporto,524,Estação Automática Principal (EMA I),33.07145833,-16.34848333,82,Porto Santo,01-01-1996
Proença-a-Nova - Moitas,806,Estação Automática Climatológica (EMA II),39.72857222,-7.87055556,379,PROENÇA-A-NOVA,26-05-1997
Quinta Grande,984,Estação Automática Climatológica (EMA II),32.66297222,-17.01503611,580,Câmara de Lobos,01-08-2010
Reguengos - S.Pedro do Corval,840,Estação Automática Climatológica (EMA II),38.48486667,-7.47291667,249,REGUENGOS DE MONSARAZ,27-01-2010
Rio Maior / ETAR,729,Estação Automática Climatológica (EMA II),39.31391944,-8.92357778,69,RIO MAIOR,15-05-1996
Sabugal - Martim Rei,800,Estação Automática Climatológica (EMA II),40.33918056,-7.03693333,858,SABUGAL,18-06-1999
Sagres / Quartel da Marinha,533,Estação Automática Principal (EMA I),37.01283611,-8.94908889,25,VILA DO BISPO,01-01-1996
Santa Catarina / Aeroporto,521,Estação Automática Principal (EMA I),32.69316667,-16.77620833,58,Santa Cruz,14-11-2014
Santa Cruz / Aeródromo,746,Estação Automática Climatológica (EMA II),39.12594167,-9.37903889,38,TORRES VEDRAS,30-12-2009
Santa Maria / Aeroporto,515,Estação Automática Principal (EMA I),36.97319444,-25.17279444,96,VILA DO PORTO,25-04-2002
Santana,965,Estação Automática Climatológica (EMA II),32.80823889,-16.88641667,380,Santana,01-08-2010
Santarém - Fonte Boa / Est. Zootécnica,734,Estação Automática Climatológica (EMA II),39.20126111,-8.73666111,73,SANTARÉM,15-05-1996
Santo da Serra,975,Estação Automática Climatológica (EMA II),32.72589722,-16.81682222,660,Machico,01-08-2010
Selvagem Grande,520,Estação Automática Climatológica (EMA II),30.14536944,-15.87104167,150,Funchal,23-08-2016
Setúbal,929,Estação Automática Urbana (RUEMA),38.52385000,-8.88104167,32,SETÚBAL,01-01-2002
Setúbal / Estação de Fruticultura,770,Estação Automática Climatológica (EMA II),38.54849722,-8.89078333,35,SETÚBAL,06-11-1996
Sines - Monte Chãos,541,Estação Automática Principal (EMA I),37.95450278,-8.83827222,103,SINES,01-01-1996
São Jorge / Aeródromo,927,Estação Automática Climatológica (EMA II),38.66418889,-28.17081667,99,VELAS,14-09-2012
São Pedro de Moel,721,Estação Automática Climatológica (EMA II),39.76361944,-9.03058889,40,MARINHA GRANDE,06-01-2010
São Vicente,967,Estação Automática Climatológica (EMA II),32.80018333,-17.04472222,97,São Vicente,01-08-2010
Tomar - Vale Donas,724,Estação Automática Climatológica (EMA II),39.59212778,-8.37397500,75,TOMAR,10-05-1996
Torres Vedras - Dois Portos,739,Estação Automática Climatológica (EMA II),39.04389444,-9.17900000,110,TORRES VEDRAS,12-01-1995
Trancoso / Bandarra,666,Estação Automática Climatológica (EMA II),40.78116667,-7.35737500,840,TRANCOSO,03-06-1999
Viana do Alentejo,847,Estação Automática Climatológica (EMA II),38.33191944,-8.04553889,202,VIANA DO ALENTEJO,18-01-2011
Viana do Castelo - Chafé,551,Estação Automática Principal (EMA I),41.64887500,-8.80460556,48,VIANA DO CASTELO,01-03-2006
Viana do Castelo / Cidade,610,Estação Automática Urbana (RUEMA),41.69504722,-8.82957500,18,VIANA DO CASTELO,02-03-2011
Vila Nova de Cerveira / Aeródromo,604,Estação Automática Climatológica (EMA II),41.97313056,-8.67621111,34,VILA NOVA DE CERVEIRA,25-04-1999
Vila Real / Aeródromo,567,Estação Automática Principal (EMA I),41.27420833,-7.71711389,561,VILA REAL,01-01-1996
Vila Real / Cidade,566,Estação Automática Urbana (RUEMA),41.30898056,-7.74052222,481,VILA REAL,31-05-2010
Vila Real de S.António,866,Estação Automática Climatológica (EMA II),37.18710556,-7.41632500,11,VILA REAL DE SANTO ANTÓNIO,18-01-2011
Vinhais,612,Estação Automática Climatológica (EMA II),41.84340000,-7.00344167,773,VINHAIS,27-08-2010
Viseu / Aeródromo,560,Estação Automática Principal (EMA I),40.71492778,-7.89591667,636,VISEU,01-01-1996
Viseu / Cidade,675,Estação Automática Urbana (RUEMA),40.66273889,-7.90396944,443,VISEU,31-03-2011
Zambujeira,788,Estação Automática Climatológica (EMA II),37.58195833,-8.74286944,67,ODEMIRA,05-02-2010
Zebreira,803,Estação Automática Climatológica (EMA II),39.84955556,-7.06858333,374,IDANHA-A-NOVA,07-07-1999
Évora / Aeródromo,558,Estação Automática Principal (EMA I),38.53654167,-7.88795833,246,ÉVORA,01-01-1996
